,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,user_name,sample_date,age_range,pronunciation,gender
41,87,124.88505747126437,1.858045828820382,2.605433290217804,110.0,110.0,36.02343594995312,85.0,250.0,105.0,130.0,25.0,AndreyBarrientosCostaRica,20130710,Adult,Other,Male
42,51,139.2156862745098,1.1892279468709717,0.23414026458575155,120.0,110.0,48.581572285234834,85.0,275.0,105.0,160.0,55.0,AndreyBarrientosCostaRica,20130710,Adult,Other,Male
43,82,130.0,1.7719798164211928,2.223252689024453,110.0,95.0,49.08305554326681,85.0,275.0,100.0,143.75,43.75,AndreyBarrientosCostaRica,20130720,Youth,Other,Male
44,132,99.28030303030303,0.03579321468877025,6.533106798117879,95.0,90.0,14.130514152400929,25.0,155.0,90.0,110.0,20.0,Andy212380,20141016,Adult,European,Male
45,212,99.88207547169812,-0.016259580010053776,-0.4699509971075462,100.0,120.0,19.687661576071616,40.0,150.0,85.0,120.0,35.0,Angus,20080320,Adult,British,Male
46,206,100.26699029126213,-0.19628497470117617,-0.7907401522220177,100.0,120.0,20.314316002045793,40.0,150.0,85.0,120.0,35.0,Angus,20080320,Adult,British,Male
47,229,102.18340611353712,0.9726874998869184,5.2651258433216945,100.0,120.0,20.11520280861166,70.0,230.0,85.0,120.0,35.0,Angus,20080320,Adult,British,Male
48,215,99.5282392026578,-0.16713548615821144,-0.004156003646056838,100.0,120.0,21.252779150659162,35.0,150.0,85.0,120.0,35.0,Angus,20080320,Adult,British,Male
49,131,123.71246819338423,-0.02423027485826028,-1.7552475584785898,145.0,25.0,86.61284062863967,24.0,260.0,25.0,210.0,185.0,AnnaKarpelevich,20091129,Youth,Other,Female
50,30,217.33333333333334,-0.6646620161457824,-1.0971926752036814,237.5,265.0,53.847521350156455,120.0,275.0,171.25,265.0,93.75,Anniepoo,20140308,Adult,American,Female
51,33,200.45454545454547,-1.0243254906861536,0.013598029041621107,210.0,205.00000000000003,72.30369071810965,30.0,275.0,160.0,265.0,105.0,Anniepoo,20140308,Adult,American,Female
52,40,209.0,-1.1413494125940717,0.590857506256317,227.5,205.00000000000003,62.33177359902412,25.0,275.0,175.00000000000003,260.0,84.99999999999997,Anniepoo,20140308,Adult,American,Female
53,21,172.61904761904762,0.020860174700966155,-0.29975024472904765,175.00000000000003,175.00000000000003,47.674967166544185,85.0,265.0,155.0,205.00000000000003,50.00000000000003,Anniepoo,20140308,Adult,American,Female
54,28,211.07142857142858,-1.0489549099654996,0.5002764155552311,217.5,270.0,66.13510445154166,25.0,275.0,170.0,270.0,100.0,Anniepoo,20140308,Adult,American,Female
55,25,184.4,0.09384868892856672,-0.20202508376228945,175.00000000000003,205.00000000000003,44.54929853544273,85.0,270.0,155.0,205.00000000000003,50.00000000000003,Anniepoo,20140308,Adult,American,Female
56,24,222.91666666666666,-1.2942897102825084,1.5121058662407734,240.0,260.0,49.05177253564736,70.0,270.0,198.75000000000003,260.0,61.24999999999997,Anniepoo,20140308,Adult,American,Female
57,29,207.24137931034483,-0.7503043059526405,0.24076202205635244,215.0,265.0,48.00478077658357,70.0,265.0,170.0,240.0,70.0,Anniepoo,20140308,Adult,American,Female
58,101,148.18492229378987,-1.002102490555846,1.3977469356969578,155.0,155.0,39.86061593204115,30.0,235.00000000000003,135.0,170.0,35.0,Apple,20091026,Adult,American,Male
59,195,238.0952380952381,-0.935686245390401,1.2381397215132415,235.00000000000003,235.00000000000003,23.570670058465847,160.0,275.0,235.00000000000003,250.0,14.999999999999972,Ara,20091020,Adult,American,Male
60,165,240.620202020202,-1.6562025876956044,4.864065829974033,245.0,235.00000000000003,24.90531286118278,120.0,275.0,235.00000000000003,255.0,19.99999999999997,Ara,20091021,Adult,American,Male
61,196,197.81802721088437,0.6577460471861383,-0.047212526047097025,185.0,180.0,29.64577903685797,140.0,275.0,180.0,215.0,35.0,Artem,20121123,Adult,European,Male
62,128,108.515625,0.6296956896282956,-1.0832052134461723,90.0,45.0,68.21198396073358,25.0,265.0,45.0,192.5,147.5,AslakKnutsen,20140314,Adult,European,Male
63,116,117.77093596059115,0.44501278599264915,-1.1470526294362933,112.5,45.0,65.05371536613565,40.0,230.0,45.0,165.0,120.0,AslakKnutsen,20140314,Adult,European,Male
64,94,129.80496453900707,0.06631823688156514,-1.5372388436031728,120.0,45.0,67.50486208869253,26.666666666666668,225.0,81.25,205.00000000000003,123.75000000000003,AslakKnutsen,20140314,Adult,European,Male
65,112,106.80059523809523,0.5983872688375346,-1.11848002037844,90.0,45.0,73.19390776947441,25.0,270.0,45.0,173.75,128.75,AslakKnutsen,20140314,Adult,European,Male
66,99,107.74170274170275,0.5970646032963591,-1.3907005695110282,85.0,45.0,74.06899700247227,25.0,250.0,45.0,205.00000000000003,160.00000000000003,AslakKnutsen,20140314,Adult,European,Male
67,78,112.75641025641026,0.5027367800875173,-0.8681016734501936,115.0,45.0,64.4833880212841,25.0,265.0,45.0,145.0,100.0,AslakKnutsen,20140314,Adult,European,Male
68,141,89.06939441959526,1.1179182633789624,0.014055494033983429,45.0,45.0,66.7637842193377,22.857142857142858,275.0,40.0,120.0,80.0,AslakKnutsen,20140314,Adult,European,Male
69,109,103.29838357361292,0.7790363078687741,-0.7850027335158791,90.0,45.0,68.3405050075996,22.857142857142858,265.0,45.0,130.0,85.0,AslakKnutsen,20140314,Adult,European,Male
70,90,112.34126984126985,0.48639574191882584,-1.1094190160533073,95.0,40.0,63.81085888597793,25.0,225.0,45.0,165.0,120.0,AslakKnutsen,20140315,Adult,European,Male
71,125,87.28342857142857,1.2474430266318868,1.6522505949552606,90.0,45.0,47.63032470506793,24.0,250.0,45.0,105.0,60.0,AslakKnutsen,20140317,Adult,European,Male
72,119,89.70348139255702,1.1802808529383675,1.061835794308669,90.0,45.0,48.60505918431089,24.0,225.0,45.0,97.5,52.5,AslakKnutsen,20140317,Adult,European,Male
81,62,165.16129032258064,0.024289148867106963,-1.1497578330123353,155.0,105.0,56.980243760273865,30.0,265.0,105.0,217.5,112.5,Bahoke,20130721,Adult,American,Male
82,61,150.81967213114754,0.308667826093879,-1.2047720822247674,125.0,105.0,53.868238823919825,35.0,245.0,105.0,200.0,95.0,Bahoke,20130721,Adult,American,Male
83,65,129.79487179487182,0.4573254127808657,-0.4510394168331264,115.0,100.0,56.5039199096355,25.0,250.0,100.0,150.0,50.0,Bahoke,20130721,Adult,American,Male
84,55,135.9090909090909,0.3981080184811828,-0.8701283091581442,115.0,105.0,58.271238103224164,30.0,250.0,100.0,197.5,97.5,Bahoke,20130721,Adult,American,Male
85,50,149.4,0.2654809407940281,-0.9758745433352947,125.0,105.0,58.34072334141907,25.0,255.0,106.25,213.75,107.5,Bahoke,20130721,Adult,American,Male
86,68,143.01470588235293,0.31845157189430173,-0.6099351861370397,125.0,100.0,57.91817063426104,30.0,260.0,100.0,196.25,96.25,Bahoke,20130721,Adult,American,Male
87,48,143.125,0.468164622487983,-0.5208469313273589,125.0,110.0,48.826062456438166,25.0,235.00000000000003,110.0,191.25,81.25,Bahoke,20130721,Adult,American,Male
88,52,150.3846153846154,0.36050516458994314,-0.688496373061287,135.0,105.0,53.23971690027381,25.0,255.0,110.0,191.25,81.25,Bahoke,20130721,Adult,American,Male
89,35,147.28571428571428,0.2583645176930474,-1.031443488130985,125.0,125.0,57.722771653368646,25.0,250.0,102.5,207.5,105.0,Bahoke,20130721,Adult,American,Male
90,57,147.5438596491228,0.22765023769033296,-1.0531123922921075,125.0,100.0,61.765848218540164,25.0,260.0,100.0,210.0,110.0,Bahoke,20130721,Adult,American,Male
91,57,142.80701754385964,0.6143419480944401,-1.1737020684998507,125.0,100.0,47.94932946734619,75.0,230.0,105.0,195.0,90.0,Bahoke,20130721,Adult,American,Male
92,85,116.96302521008404,0.3931468903519603,-1.602918579500441,70.0,25.0,92.67233620758157,22.857142857142858,275.0,30.0,220.0,190.0,Bareford,20101110,Adult,American,Male
93,60,160.11111111111111,-0.9291607333038333,0.19427821914825927,170.0,165.0,62.759731919577895,25.0,270.0,150.0,200.0,50.0,Bassel,20120209,Youth,Other,Male
94,263,124.63443780554047,1.3086071051790948,-0.0681048737054053,90.0,90.0,61.23150822815079,80.0,275.0,90.0,152.5,62.5,Berrym,20101102,Adult,American,Male
95,213,180.6637603398167,-0.47668284520888865,-1.0485806468935484,205.00000000000003,260.0,75.1382334422261,25.0,275.0,120.0,255.0,135.0,BhushanNKIITBombay,20140219,Youth,Indian,Male
96,103,126.66737019839594,1.1299547262057419,1.2942676999424014,110.0,105.0,48.33152647307218,21.73913043478261,270.0,100.0,140.0,40.0,BigMick,20090919,Adult,European,Male
97,85,157.11764705882354,1.1124088750708376,-0.39504299518765285,130.0,130.0,50.400609651939696,100.0,275.0,125.0,210.0,85.0,BillMorgan,20120306,Senior,American,Male
98,101,149.54455445544554,0.7228855673314012,-0.32516729792041454,145.0,120.0,40.655160488017266,90.0,250.0,120.0,160.0,40.0,Bitbrit,20090528,Adult,British,Male
99,93,155.13568868407577,0.4193326989526092,-1.0363288656451293,145.0,120.0,39.51678229574884,90.0,240.0,120.0,185.0,65.0,Bitbrit,20090528,Adult,British,Male
101,70,168.85714285714286,-0.3145464677225696,-1.3171882523870744,185.0,185.0,35.89838265926503,115.0,225.0,125.0,190.0,65.0,Blenderkitty,20090615,Adult,American,Male
102,83,168.55421686746988,-0.22438302628503332,-1.6195675217899788,190.0,120.0,39.580101186440544,115.0,225.0,120.0,200.0,80.0,Blenderkitty,20090615,Adult,American,Male
103,60,166.08333333333334,-0.19428544384283583,-1.585215357093793,185.0,190.0,38.709297619851256,110.0,225.0,120.0,190.0,70.0,Blenderkitty,20090615,Adult,American,Male
104,61,159.34426229508196,-0.02969285077957061,-1.6831418582800886,185.0,120.0,36.06091624173596,115.0,220.0,120.0,190.0,70.0,Blenderkitty,20090615,Adult,American,Male
105,65,160.84615384615384,-0.06599443601963197,-1.7064643955229881,185.0,120.0,37.62741666932638,115.0,220.0,120.0,190.0,70.0,Blenderkitty,20090615,Adult,American,Male
106,102,80.13725490196079,0.4368810364241873,0.663296203242576,90.0,95.0,38.91091867926581,24.0,195.0,36.25,100.0,63.75,BlindPilot,20100610,Adult,American,Male
107,93,92.25806451612904,1.2146068104982708,2.8710082565417414,95.0,90.0,46.091984521325585,25.0,260.0,75.0,105.0,30.0,BlindPilot,20100610,Adult,American,Male
108,110,89.95454545454545,0.7918650313607307,4.311992879950335,95.0,90.0,33.07357812889216,25.0,220.0,86.25,100.0,13.75,BlindPilot,20100610,Adult,American,Male
109,83,82.855421686747,1.108974898821244,0.9224183776748145,85.0,35.0,51.56026594987831,25.0,240.0,35.0,100.0,65.0,BlindPilot,20100610,Adult,American,Male
110,89,75.32209737827715,0.7659392199437689,0.47685613148990846,85.0,100.0,41.234582090101554,25.0,190.0,35.0,100.0,65.0,BlindPilot,20100610,Adult,American,Male
111,22,204.3181818181818,-1.5755371802551013,2.351867582533906,207.5,195.0,60.194673853511155,40.0,275.0,195.0,251.25,56.25,BlueAgent,20120819,Youth,Australian,Male
112,18,193.05555555555554,-2.1145753614387153,5.425122201188115,195.0,170.0,48.2510474523291,25.0,245.0,176.25000000000003,230.00000000000003,53.75,BlueAgent,20120819,Youth,Australian,Male
113,81,131.35802469135803,4.88207613642624,33.76255695193544,130.0,135.0,15.416288197136437,110.0,245.0,125.0,135.0,10.0,BlueB,20090727,Adult,American,Male
114,85,134.8235294117647,4.73057908912319,25.61186746429672,135.0,135.0,21.12215255885922,110.0,270.0,125.0,135.0,10.0,BlueB,20090727,Adult,American,Male
115,41,192.1951219512195,-0.6862621822528271,-1.1501281780193393,230.0,240.0,66.62645029298548,75.0,275.0,120.0,240.0,120.0,Bob,20100106,Adult,American,Male
120,127,122.2729658792651,0.8252022478226438,0.04355295079972965,110.0,110.0,66.97155240630904,25.0,270.0,85.0,137.5,52.5,Bossalicious,20151224,Youth,American,Male
121,95,110.80701754385964,-0.7428808622129818,0.6136929864540903,115.0,110.0,38.427316640696766,25.0,205.00000000000003,105.0,130.0,25.0,Bradders,20080630,Youth,British,Male
122,124,109.32714208435432,-0.9486215685686855,0.27607104198302146,115.0,110.0,38.03418136712717,25.0,180.0,100.0,135.0,35.0,Bradders,20080630,Youth,British,Male
123,91,108.02670529220279,-0.9688486744220328,0.6715505689479575,115.0,115.0,34.82042607412035,25.0,185.0,105.0,125.0,20.0,Bradders,20080630,Youth,British,Male
124,88,109.6780303030303,-1.0156585525545694,2.031859536250531,110.0,105.0,28.685267435348507,30.0,175.00000000000003,105.0,125.0,20.0,Bradders,20080701,Youth,British,Male
126,114,128.64431263501746,1.8132315521248947,3.3257025194010303,117.5,110.0,39.616176457905645,20.451640391989773,270.0,110.0,130.0,20.0,Brittishenglishscottish20yomale,20091005,Adult,British,Male
127,250,122.8,6.951676279203504,47.21426799555443,120.0,120.0,18.470517047446183,120.0,275.0,120.0,120.0,0.0,Brozkeff,20111229,Youth,European,Male
128,105,133.95238095238096,0.8429537359143587,-0.5728818931852726,105.0,100.0,56.86950491756686,25.0,270.0,95.0,195.0,100.0,BruceCouper,20080305,Adult,Other,Male
129,118,143.85593220338984,0.3129364471858511,-0.9906051544340926,125.0,105.0,55.53061080156966,25.0,260.0,105.0,195.0,90.0,BruceCouper,20080305,Adult,Other,Male
130,130,137.42307692307693,0.5485702062195885,-0.8400113208098738,110.0,100.0,58.49797700441843,25.0,270.0,95.0,205.00000000000003,110.00000000000003,BruceCouper,20080305,Adult,American,Male
131,351,116.24094424094426,0.20126310090213861,3.958908713795024,120.0,125.0,23.618202933623294,25.0,230.0,110.0,125.0,15.0,BrunoChagas,20140807,Adult,Other,Male
132,151,181.69063386944183,-0.1990990207115961,-1.1900584786161477,200.0,215.0,45.335291648607786,100.0,275.0,130.0,215.0,85.0,Buddyboy,20110710,Senior,British,Male
137,51,77.54901960784314,1.1404072423660438,0.1601631322018635,35.0,25.0,71.093507528918,25.0,275.0,25.0,147.5,122.5,Caatbells,20111019,Adult,British,Female
138,75,152.09067560022334,-0.4063142029886224,-0.9107793395636783,165.0,25.0,75.89029411577556,25.0,275.0,120.0,207.5,87.5,Campbell,20091230,Youth,Other,Male
139,69,166.78601875532823,-0.3168001707123518,-0.22184076569428512,155.0,135.0,64.25377430363623,25.0,270.0,130.0,230.0,100.0,Campbell,20091230,Youth,Other,Male
140,43,180.2325581395349,-0.08970059061014776,-0.2531949613757294,165.0,270.0,60.2123518230319,30.0,275.0,142.5,222.5,80.0,Campbell,20100103,Youth,Other,Male
141,40,161.75,-0.5999593767068576,-0.25448088224811105,165.0,145.0,69.69173193428328,25.0,270.0,145.0,202.5,57.5,Campbell,20100103,Youth,Other,Male
142,56,150.44642857142858,-0.16632226646243028,0.4600105923254949,145.0,130.0,58.06613213854194,25.0,275.0,130.0,177.50000000000003,47.50000000000003,Campbell,20100104,Youth,Other,Male
143,50,156.7,-0.3560884914534197,0.1363031985704546,155.0,150.0,62.48687862263564,25.0,275.0,135.0,183.75,48.75,Campbell,20100414,Youth,Other,Male
144,43,143.8020131763187,1.0423947514864054,-0.6974123346816454,105.0,105.0,64.71661984032833,80.0,270.0,105.0,187.5,82.5,CaptainSpok,20090509,Adult,American,Male
145,75,142.44210152644658,0.26355773670764965,-0.555584699439708,125.0,120.0,63.94675273139801,25.0,265.0,115.0,212.5,97.5,CarlFK,20080617,Adult,American,Male
146,99,118.3039497552658,0.1977374198796656,0.19218002724691008,120.0,135.0,56.62981131168477,25.0,270.0,107.5,135.0,27.5,CarlFK,20080617,Adult,American,Male
147,47,92.34042553191489,0.3761433649916171,-0.8547769612831111,80.0,25.0,63.185399806878586,25.0,270.0,30.0,147.5,117.5,Catbbells,20110928,Adult,British,Female
148,82,104.8780487804878,0.35924344726347224,-1.2842444073955366,92.5,35.0,73.77030770324716,25.0,260.0,35.0,165.0,130.0,Catbells,20110421,Adult,British,Female
149,83,124.09638554216868,-0.5374193675193061,-0.8638991636448767,150.0,155.0,60.14112208172498,25.0,275.0,45.0,165.0,120.0,Catbells,20110527,Adult,British,Female
150,64,121.078125,0.12349560586842283,-0.886194986936168,137.5,40.0,70.74565019479554,24.0,270.0,40.0,160.0,120.0,Catbells,20110603,Adult,British,Female
151,69,105.3913043478261,-0.2999637352762881,-1.7611334912076844,145.0,30.0,62.295280345874836,25.0,190.0,30.0,155.0,125.0,Catbells,20110604,Adult,British,Female
152,87,102.98850574712644,0.23438015259102032,-1.334351748827558,140.0,25.0,71.4201578571619,25.0,275.0,30.0,165.0,135.0,Catbells,20110728,Adult,British,Female
153,96,99.34027777777779,0.10258386788694256,-1.8080988092426016,82.5,30.0,67.90664512236407,25.0,215.0,30.0,165.0,135.0,Catbells,20110730,Adult,British,Female
154,86,103.52713178294574,-0.008219760668311205,-1.804808299133759,142.5,25.0,68.50725579022777,25.0,210.0,30.0,165.0,135.0,Catbells,20110802,Adult,British,Female
156,77,110.39888682745826,-0.2433160440624255,-1.1874550441601888,140.0,25.0,60.74167160454825,25.0,265.0,40.0,155.0,115.0,Catbells,20110803,Adult,British,Female
157,38,57.89473684210526,1.2647641818964452,-0.2610507900450494,30.0,25.0,51.93152854008531,25.0,175.00000000000003,25.0,43.75,18.75,Catbells,20110825,Adult,British,Female
159,50,102.1,-0.037731700954771165,-1.9164762527709653,140.0,25.0,69.07307724432147,25.0,185.0,30.0,170.0,140.0,Catbells,20111008,Adult,British,Female
160,74,119.66216216216216,-0.6430063467029925,-0.03039833574374695,140.0,90.0,45.21966715963041,25.0,230.0,90.0,145.0,55.0,Catbells,20111009,Adult,British,Female
161,55,82.30303030303031,0.7572219642785445,-0.4483155533964909,40.0,25.0,63.094838756319454,25.0,275.0,28.333333333333336,140.0,111.66666666666666,Catbells,20111012,Adult,British,Female
162,62,106.35483870967742,-0.2802618518364754,-1.713071829433341,145.0,25.0,65.39855398771186,24.0,215.0,26.25,158.75,132.5,Catbells,20111013,Adult,British,Female
163,50,77.5,0.5827376363418464,-1.4423348176324702,40.0,25.0,61.21478579559027,25.0,210.0,25.0,148.75,123.75,Catbells,20111017,Adult,British,Female
164,46,85.97826086956522,0.5150710275971982,-1.4452792601921476,40.0,30.0,68.06023199772478,25.0,225.0,30.0,155.0,125.0,Catbells,20111019,Adult,British,Female
165,78,85.34188034188034,0.39710291336047643,-1.5567778114928699,45.0,25.0,62.95283755327057,25.0,220.0,25.0,150.0,125.0,Catbells,20111122,Adult,British,Female
166,27,138.02469135802468,0.4840903870988002,-1.1284631660386415,95.0,90.0,77.06156621198832,25.0,270.0,90.0,210.0,120.0,CbS,20120222,Adult,American,Male
167,33,113.03030303030303,1.6854441362623012,1.2790242502416405,95.0,85.0,50.21075874598558,70.0,260.0,85.0,100.0,15.0,CbS2,20120222,Adult,American,Male
168,59,168.317191283293,-0.7817591540322746,-0.10272459704681758,185.0,190.0,61.36233868298357,40.0,270.0,137.5,200.0,62.5,Cesy,20110904,Adult,British,Female
169,57,151.8421052631579,-0.37023666344746103,-0.8600688733030557,175.00000000000003,120.0,64.96714135020095,45.0,265.0,120.0,195.0,75.0,Cesy,20110904,Adult,British,Female
170,39,115.8974358974359,1.1917248224986479,0.26081647670624264,90.0,85.0,50.79965418406162,40.0,260.0,85.0,142.5,57.5,CezarBocu,20090218,Adult,European,Male
172,166,126.06425702811244,0.38478124555348775,-0.030580335381764634,122.5,125.0,58.30985087490003,25.0,275.0,100.0,150.0,50.0,Chas,20100107,Senior,American,Male
173,82,178.47560975609755,-0.5944566271534769,-0.5332300109226922,195.0,185.0,51.45261272603671,30.0,275.0,130.0,218.75,88.75,CheesyBreed,20080413,Adult,American,Male
174,121,145.82644628099175,0.44245583635181485,-1.3761238315815378,125.0,95.0,53.68005580756519,90.0,260.0,95.0,195.0,100.0,CheesyBreed,20080413,Adult,American,Male
175,96,153.125,0.2611002265264601,-1.2008827875614616,135.0,90.0,56.647898239917076,30.0,270.0,100.0,200.0,100.0,CheesyBreed,20080413,Adult,American,Male
176,118,155.96243433442362,0.4119285110635936,-1.082156351764145,137.5,95.0,54.11770611368612,80.0,275.0,105.0,193.75,88.75,CheesyBreed,20080413,Adult,American,Male
177,90,140.06718346253228,0.6159611094879133,-1.2755284620543108,110.0,95.0,53.807256326789194,85.0,260.0,95.0,193.75,98.75,CheesyBreed,20080413,Adult,American,Male
178,86,176.80232558139534,0.43245215884422594,0.3117395515752186,170.0,240.0,33.01614114318965,75.0,240.00000000000003,155.0,193.75,38.75,Chirag,20131005,Adult,Indian,Male
179,195,157.25641025641025,0.6835954664983128,-1.0460865543331026,120.0,120.0,56.82213271781446,80.0,275.0,120.0,215.0,95.0,Chris,20101214,Adult,Other,Male
180,171,119.19103313840155,-0.44581468972190474,1.7474956840771485,125.0,125.0,30.97891542560714,30.0,200.0,100.0,130.0,30.0,Chrisdan,20081210,Adult,British,Male
181,91,171.86813186813185,-0.1539045679239905,2.6716355984295346,170.0,170.0,33.33684520404466,40.0,270.0,155.0,185.0,30.0,ColinBeckingham,20091029,Senior,British,Male
182,69,180.28985507246378,-0.05510049991683936,-0.08783479345397449,175.00000000000003,165.0,54.61912959184082,40.0,275.0,150.0,205.00000000000003,55.00000000000003,ColinBeckingham,20091103,Senior,British,Male
